Source,Target,Type,Id,Label,timeset,Weight
67,83,Undirected,908,,,1
83,109,Undirected,910,,,1
83,137,Undirected,911,,,1
109,142,Undirected,913,,,1
144,144,Undirected,917,,,1
124,394,Undirected,925,,,1
145,145,Undirected,927,,,1
124,3,Undirected,932,,,1
124,148,Undirected,933,,,1
26,149,Undirected,937,,,1
14,153,Undirected,938,,,1
14,395,Undirected,939,,,1
153,153,Undirected,941,,,1
34,55,Undirected,946,,,1
137,154,Undirected,950,,,2
154,291,Undirected,953,,,1
154,297,Undirected,954,,,1
154,154,Undirected,956,,,1
75,83,Undirected,961,,,1
83,159,Undirected,963,,,1
83,190,Undirected,964,,,1
159,159,Undirected,966,,,1
3,161,Undirected,968,,,1
75,167,Undirected,980,,,1
35,55,Undirected,989,,,1
154,173,Undirected,996,,,1
14,190,Undirected,1000,,,1
159,192,Undirected,1004,,,1
74,200,Undirected,1012,,,1
6,201,Undirected,1015,,,1
6,231,Undirected,1016,,,1
201,201,Undirected,1018,,,1
14,204,Undirected,1026,,,1
6,75,Undirected,1027,,,1
75,144,Undirected,1029,,,1
144,209,Undirected,1031,,,1
144,236,Undirected,1032,,,1
209,237,Undirected,1033,,,3
209,240,Undirected,1034,,,2
209,259,Undirected,1035,,,3
209,209,Undirected,1037,,,1
214,215,Undirected,1040,,,9
214,209,Undirected,1041,,,2
215,209,Undirected,1043,,,5
214,238,Undirected,1044,,,2
214,240,Undirected,1045,,,2
214,255,Undirected,1046,,,3
214,276,Undirected,1047,,,2
214,305,Undirected,1048,,,2
214,374,Undirected,1049,,,2
214,214,Undirected,1051,,,1
215,215,Undirected,1054,,,5
215,216,Undirected,1057,,,2
215,227,Undirected,1058,,,15
215,229,Undirected,1059,,,1
215,236,Undirected,1060,,,12
215,237,Undirected,1061,,,1
215,238,Undirected,1062,,,8
215,239,Undirected,1063,,,22
215,240,Undirected,1064,,,11
215,243,Undirected,1065,,,7
215,246,Undirected,1066,,,13
215,252,Undirected,1067,,,10
215,253,Undirected,1068,,,3
215,254,Undirected,1069,,,1
215,255,Undirected,1070,,,5
215,256,Undirected,1071,,,2
215,259,Undirected,1072,,,2
215,260,Undirected,1073,,,3
215,263,Undirected,1074,,,4
215,265,Undirected,1075,,,6
215,271,Undirected,1076,,,2
215,272,Undirected,1077,,,2
